"words","class","group","rooms","תרגום רצוי, אבל בלתי אפשרי (צמד מילים, או מילה שהופיעה במקום אחר)","comments","0.6866666667"
"night","NOUN","2012","","","",""
"sierra","NOUN","2016","","","",""
"repeat","NOUN","2018","","","",""
"phleebhut","NOUN","2024","","","",""
"ignition","NOUN","2029","","","",""
"waiter | waitress | מלצר | מלצרית","NOUN","2037","","","",""
"cook | טבח","NOUN","2039","","","",""
"oaf","NOUN","2041","","","",""
"jerk","NOUN","2042","","","",""
"partner | שותף","NOUN","2048","","","",""
"friend | ידיד","NOUN","2049","","","",""
"crew | crowd | צוות | קהל","NOUN","2050","","","",""
"carbon-based | crewman | crewmen | dude | guy | human | man | men | spaceman | spacemen | איש | בחור | ברנש | חבוב | דוד | אנוש | בנאדם | זכר | בן","NOUN","2052","","","",""
"women | נשים","NOUN","2055","","","",""
"anybody | anyone | somebody | someone | מישהו","NOUN","2056","","","",""
"hello | hi | howdy | שלום | אהלן","NOUN","2058","","","",""
"thanks | תודה","NOUN","2059","","","",""
"arena","NOUN","2064","","","",""
"chamber","NOUN","2066","","","",""
"joint","NOUN","2068","","","",""
"crumb","NOUN","2074","","","",""
"lighter | מצת | מצית","NOUN","2075","","","",""
"die","NOUN","2076","","","",""
"magic | sorcery","NOUN","2077","","","",""
"bay | מפרץ","NOUN","2078","","","",""
"boot | shoe | מגף | נעל","NOUN","2079","","","",""
"way | דרך","NOUN","2080","","","",""
"odor | ריח | סרחון | סירחון","NOUN","2083","","","",""
"heat | חום","NOUN | IMPERATIVE_VERB","2084","","","",""
"runway","NOUN","2087","","","",""
"wave | גל | נופף | נפנף","NOUN | IMPERATIVE_VERB","2088","","","",""
"wind | רוח","NOUN","2089","","","",""
"sun | שמש","NOUN","2091","","","",""
"weight","NOUN","2092","","","",""
"cutter","NOUN","2093","","","",""
"instrument","NOUN","2096","","","",""
"love | אהבה | חיבה","NOUN","2099","","","",""
"accident | תאונה","NOUN","2100","","","",""
"none | nothing","NOUN","2102","","","",""
"bed","NOUN","2104","","","",""
"fuel","NOUN","2109","","","",""
"inv","NOUN | IMPERATIVE_VERB","2112","","","",""
"stuff | דברים | חפצים","NOUN | IMPERATIVE_VERB","2114","","","",""
"crud","NOUN | IMPERATIVE_VERB","2115","","","",""
"capsule | כמוסה | קפסולה","NOUN","2119","","","",""
"roof","NOUN","2127","","","",""
"hamburger | sandwich","NOUN","2128","","","",""
"knife","NOUN","2129","","","",""
"bottle","NOUN","2130","","","",""
"flesh | skin","NOUN","2132","","","",""
"hut","NOUN","2133","","","",""
"property","NOUN","2139","","","",""
"wastebasket","NOUN","2140","","","",""
"waste","NOUN","2141","","","",""
"furniture","NOUN","2143","","","",""
"number","NOUN","2146","","","",""
"container","NOUN","2147","","","",""
"emergency","NOUN","2149","","","",""
"base ","NOUN","2150","","","",""
"engraving | inscription","NOUN","2152","","","",""
"hair | שיער | שער","NOUN","2155","","","",""
"athletic | jock | jockstrap | supporter","NOUN","2157","","","",""
"strap | רצועה","NOUN","2158","","","",""
"circle | מעגל | עיגול","NOUN","2159","","","",""
"dial | חוגה | חייג","NOUN | IMPERATIVE_VERB","2162","","","",""
"gauge | מחון | מחוון | שעון","NOUN","2164","","","",""
"leaf","NOUN","2166","","","",""
"slot | חריץ","NOUN","2167","","","",""
"cartridge | קלטת | קסטה","NOUN","2168","","","",""
"airlock","NOUN","2169","","","",""
"landscape","NOUN","2170","","","",""
"matter | חומר","NOUN","2172","","","",""
"occupant","NOUN","2174","","","",""
"power","NOUN","2175","","","",""
"microphone","NOUN","2177","","","",""
"kerona | keronian","NOUN","2178","","","",""
"dispenser | holder","NOUN","2179","","","",""
"milk | חלב","NOUN","2180","","","",""
"coffee","NOUN","2181","","","",""
"tea | תה","NOUN","2182","","","",""
"sarien","NOUN","2184","","","",""
"barrier | מחסום | גבול","NOUN","2187","","","",""
"sector | גזרה | פלח ","NOUN","2188","","","",""
"author | מחבר | יוצר","NOUN","2189","","","",""
"translator | מתרגם","NOUN","2190","","","",""
"headquarters | מפקדה | חמל | חפק","NOUN","2191","","","",""
"dialect | ניב | להג","NOUN","2193","","","",""
"chest | trunk ","NOUN","2194","","","",""
"locker | ארון | ארונית","NOUN","2195","","","",""
"growth | צמיחה | גדילה","NOUN","2196","","","",""
"time | זמן | עת | שעה","NOUN","2199","","","",""
"podium","NOUN","2203","","","",""
"lint","NOUN","2204","","","",""
"alarm | אזעקה","NOUN","2206","","","",""
"diamond ","NOUN","2209","","","",""
"unit | יחידה","NOUN","2211","","","",""
"ball | כדור","NOUN","2212","","","",""
"carbon | פחמן","NOUN","2213","","","",""
"tray | מגש","NOUN","2215","","","",""
"arch ","NOUN","2216","","","",""
"spider | עכביש","NOUN","2217","","","",""
"pool | puddle | שלולית | ברכה | בריכה","NOUN","2223","","","",""
"job | עבודה | משרה | תפקיד","NOUN","2224","","","",""
"map | מפה","NOUN","2225","","","",""
"meter | מד | מדד | מטר","NOUN","2227","","","",""
"breath | נשימה","NOUN","2228","","","",""
"faucet","NOUN","2230","","","",""
"carving | תגליף | גילוף | תחריט","NOUN","2232","","","",""
"center | middle | מרכז | אמצע","NOUN","2233","","","",""
"ear | אוזן","NOUN","2234","","","",""
"read-out | readout","NOUN","2241","","","",""
"form | טופס","NOUN","2242","","","",""
"anything | something | משהו","NOUN","2246","","","",""
"path | מסלול | נתיב","NOUN","2247","","","",""
"bottom | תחתית","NOUN","2254","","","",""
"meat | בשר","NOUN","2261","","","",""
"description | תיאור","NOUN","2262","","","",""
"wrist | מפרק | פרק","NOUN","2263","","","",""
"blood | דם","NOUN","2265","","","",""
"activator","NOUN","2266","","","",""
"garage | מוסך","NOUN","2267","","","",""
"kitchen | מטבח","NOUN","2269","","","",""
"cost | price | מחיר | עלות","NOUN","2270","","","",""
"terminal | מסוף","NOUN","2273","","","",""
"pack | package | חבילה | אריזה","NOUN","2274","","","",""
"laser | לייזר","NOUN","2275","","","",""
"tank","NOUN","2278","","","",""
"sex | מין","NOUN","2282","","","",""
"drain","NOUN","2285","","","",""
"mask | מסכה | מסיכה","NOUN","2286","","","",""
"scenery | תפאורה","NOUN","2287","","","",""
"shot | זריקה","NOUN","2290","","","",""
"landing","NOUN","2291","","","",""
"shift","NOUN","2293","","","",""
"horn","NOUN","2294","","","",""
"ash | אפר","NOUN","2295","","","",""
"stream","NOUN","2307","","","",""
"smoke | steam | vapor","IMPERATIVE_VERB | NOUN","2309","","","",""
"bullseye | target | מטרה | בול-פגיעה | בול |","NOUN","2312","","","",""
"credit | אשראי","NOUN","2315","","","",""
"city | settlement | town","NOUN","2316","","","",""
"billfold | wallet","NOUN","2317","","","",""
"crapper | shitter | stool | throne | toilet | urinal","NOUN","2318","","","",""
"bathroom | john | lavatory | restroom | shithouse | wc","NOUN","2319","","","",""
"basin | sink","NOUN","2320","","","",""
"complaint | difficulty | problem | trouble","NOUN","2321","","","",""
"coke | pepsi | soda | קולה | סודה | משקה | גזוז","NOUN","2323","","","",""
"music | song | מוזיקה | מוסיקה | מנגינה | שיר","NOUN","2324","","","",""
"prisoner | אסיר","NOUN","2325","","","",""
"tip | טיפ | תשר","NOUN | IMPERATIVE_VERB","2327","","","",""
"keyboard | מקלדת | קלידים","NOUN","2330","","","",""
"radio","NOUN | IMPERATIVE_VERB","2331","","","",""
"watch","NOUN | IMPERATIVE_VERB","2332","","","",""
"pant | pants","NOUN","2333","","","",""
"speaker | רמקול","NOUN","2336","","","",""
"wound | פצע","NOUN | IMPERATIVE_VERB","2338","","","",""
"gas | methane","NOUN","2341","","","",""
"muck | mud | בוץ","NOUN","2344","","","",""
"jet | סילון","NOUN","2349","","","",""
"thumb","NOUN","2351","","","",""
"oil | שמן","NOUN","2352","","","",""
"pressure | לחץ","NOUN","2353","","","",""
"supply | אספקה","NOUN","2354","","","",""
"sorry | סליחה | מצטער","NOUN","2358","","","",""
"hell | work","NOUN","2360","","","",""
"burn | fire | flame","IMPERATIVE_VERB | NOUN","2362","","","",""
"surface | משטח","NOUN | IMPERATIVE_VERB","2363","","","",""
"pair | זוג | צמד","NOUN","2365","","","",""
"glow ","NOUN","2366","","","",""
"detective | בלש","NOUN","2367","","","",""
"glove | כפפה","NOUN","2368","","","",""
"butt | rear | tail | זנב | אחוריים | טוסיק | עכוז | ישבן","NOUN","2369","","","",""
"cage | cell | jail | prison","NOUN","2371","","","",""
"block","NOUN","2389","","","",""
"wing | כנף","NOUN","2418","","","",""
"mosaic","NOUN","2439","","","",""
"mark","NOUN","2445","","","",""
"jam | polyfoam | toejam","NOUN","2449","","","",""
"0 | o | zero | אפס | אין","NOUN","4000","","","",""
"1 | one | אחד | אחת","NOUN","4001","","","",""
"3 | three | שלוש | שלושה | שלושת | תלת","NOUN","4003","","","",""
"4 | four | ארבע | ארבעה | ארבעת","NOUN","4004","","","",""
"5 | five | חמש | חמישה | חמשת","NOUN","4005","","","",""
"6 | six | שש | ששה | שישה | ששת","NOUN","4006","","","",""
"7 | seven | שבע | שבעה | שבעת","NOUN","4007","","","",""
"9 | nine | תשע | תשעה | תשעת","NOUN","4009","","","",""
"10 | ten | עשר | עשרה | עשרת","NOUN","4010","","","",""
"11 | eleven | אחד-עשר | אחת-עשרה","NOUN","4011","","","",""
"12 | twelve | שנים-עשר | שתים-עשרה","NOUN","4012","","","",""
"13 | thirteen | שלושה-עשר | שלוש-עשרה","NOUN","4013","","","",""
"14 | forteen | fourteen | ארבעה-עשר | ארבע-עשרה","NOUN","4014","","","",""
"15 | fifteen | חמישה-עשר | חמש-עשרה","NOUN","4015","","","",""
"16 | sixteen | שישה-עשר | ששה-עשר | שש-עשרה","NOUN","4016","","","",""
"17 | seventeen | שבעה-עשר | שבע-עשרה","NOUN","4017","","","",""
"18 | eighteen | שמונה-עשר | שמונה-עשרה","NOUN","4018","","","",""
"19 | nineteen | ninteen | תשעה-עשר | תשע-עשרה","NOUN","4019","","","",""
"20 | twenty | עשרים","NOUN","4020","","","",""
"30 | thirty | שלושים","NOUN","4021","","","",""
"40 | forty | ארבעים","NOUN","4022","","","",""
"50 | fifty | חמישים","NOUN","4023","","","",""
"60 | sixty | שישים | ששים","NOUN","4024","","","",""
"70 | seventy | שבעים","NOUN","4025","","","",""
"80 | eighty | שמונים","NOUN","4026","","","",""
"90 | ninety | תשעים","NOUN","4027","","","",""
"100 | hundred | מאה | מאות","NOUN","4028","","","",""
"1000 | thousand | אלף | אלפים","NOUN","4029","","","",""
"1000000 | million | מיליון","NOUN","4030","","","",""
"unknownnumber | מספר","NOUN","4093","","","",""
"!* | noword","","4094","","","",""
"* | any | anyword","CONJUNCTION | PREPOSITION | ARTICLE | ADJECTIVE | PRONOUN | NOUN | INDICATIVE_VERB | ADVERB | IMPERATIVE_VERB","4095","","","",""
"את","ARTICLE | PREPOSITION","","","","",""
"1hebrew1prefix1bet","PREPOSITION","","","","",""
"1hebrew1prefix1lamed","PREPOSITION","","","","",""
"1hebrew1prefix1mem","PREPOSITION","","","","",""
